author_id,name,institution_id,institution_name,year_start,year_end,orcid,closest_hospital,hospital_lat,hospital_lon,distance_km,date_of_birth,date_of_death,ORCID,loc_id,affiliation,q_id,total_works,total_citations,inst_type,appoint_len,appt_dropped_by_inst_type,appoint_len_w,winsorized_appointment,perfect_overlap,partial_overlap_kept,partial_overlap_author
https://openalex.org/A5109252322,N. Amos,https://openalex.org/I111979921,Northwestern University,1983,1992,,PRESENCE ST FRANCIS HOSPITAL,42.0243893370001,-87.684568052,1.917023334551091,,,,,,Q64604480,160,7832,education,9,1,9,False,0,1,1
https://openalex.org/A5032854353,Elizabeth S. Gloster,https://openalex.org/I181697535,SUNY Downstate Health Sciences University,2003,2012,,UNIVERSITY HOSPITAL OF BROOKLYN,40.6548418790001,-73.944227854,0.6939690057960565,1949-06-05T00:00:00Z,,,,,Q5362845,43,737,education,9,1,9,False,0,1,0
https://openalex.org/A5032854353,Elizabeth S. Gloster,https://openalex.org/I1327163397,State University of New York,1989,2004,,VA MEDICAL CENTER - ALBANY STRATTON,42.6508081800001,-73.771944595,1.299934220282715,1949-06-05T00:00:00Z,,,,,Q5362845,43,737,education,15,1,15,False,0,1,0
https://openalex.org/A5080282379,Cheryl F. Dreyfus,https://openalex.org/I2802203029,Johnson University,1991,2025,0000-0002-1368-6203,BAPTIST HOSPITAL OF EAST TENNESSEE,35.955245645,-83.914459568,14.904094724594808,,,0000-0002-1368-6203,,,Q92947280,106,7182,education,34,0,34,False,0,1,1
https://openalex.org/A5080282379,Cheryl F. Dreyfus,https://openalex.org/I28166907,Karolinska Institutet,1978,1993,0000-0002-1368-6203,,,,,,,0000-0002-1368-6203,,,Q92947280,106,7182,education,15,0,15,False,0,1,1
https://openalex.org/A5014872605,Bradley R. Jones,https://openalex.org/I1331384533,University of Hawaii System,2001,2024,0000-0003-4498-1069,QUEENS MEDICAL CENTER,21.3080396020001,-157.853638515,0.501895912550603,,,0000-0003-4498-1069,,,Q63515456,63,1670,education,23,1,23,False,1,1,1
https://openalex.org/A5014872605,Bradley R. Jones,https://openalex.org/I117965899,University of Hawaiʻi at Mānoa,2001,2024,0000-0003-4498-1069,QUEENS MEDICAL CENTER,21.3080396020001,-157.853638515,0.501895912550603,,,0000-0003-4498-1069,,,Q63515456,63,1670,education,23,1,23,False,1,1,1
https://openalex.org/A5021769541,Urban Deutsch,https://openalex.org/I118564535,University of Bern,2004,2025,0000-0003-4265-6262,,,,,2000-01-01T00:00:00Z,,0000-0003-4265-6262,,Harvard Medical School,Q32420081,135,17573,education,21,1,21,False,0,1,1
https://openalex.org/A5021769541,Urban Deutsch,https://openalex.org/I136199984,Harvard University,1995,2008,0000-0003-4265-6262,SPAULDING HOSPITAL FOR CONTINUING MED CARE CAMBRIDGE,42.3753221040001,-71.106943456,0.1122862784625716,2000-01-01T00:00:00Z,,0000-0003-4265-6262,,Harvard Medical School,Q32420081,135,17573,education,13,1,13,False,0,1,1
https://openalex.org/A5058957254,Lawrence Schwartz,https://openalex.org/I51713134,University of Colorado Anschutz Medical Campus,2013,2022,0000-0003-2960-9365,SPALDING REHABILITATION HOSPITAL,39.7310299640001,-104.827472751,0.4195640955196614,,,0000-0003-2960-9365,,,Q94454955,51,2347,education,9,0,9,False,1,1,0
