Processing institution: I63966007
[1995-2004] Total so far: 10400, Requests made: 370, avg 0.80 req/sec
[2005-2014] Total so far: 8400, Requests made: 371, avg 0.80 req/sec
[1965-1974] Total so far: 11800, Requests made: 372, avg 0.80 req/sec
[2015-2024] Total so far: 8000, Requests made: 372, avg 0.80 req/sec
[1985-1994] Total so far: 9800, Requests made: 374, avg 0.80 req/sec
[1975-1984] Total so far: 11000, Requests made: 374, avg 0.80 req/sec
[1995-2004] Total so far: 10600, Requests made: 376, avg 0.80 req/sec
[1965-1974] Total so far: 12000, Requests made: 376, avg 0.80 req/sec
[2005-2014] Total so far: 8600, Requests made: 377, avg 0.80 req/sec
[1985-1994] Total so far: 10000, Requests made: 378, avg 0.80 req/sec
[1975-1984] Total so far: 11200, Requests made: 382, avg 0.80 req/sec
[1965-1974] Total so far: 12200, Requests made: 382, avg 0.80 req/sec
[1995-2004] Total so far: 10800, Requests made: 382, avg 0.80 req/sec
[2015-2024] Total so far: 8200, Requests made: 382, avg 0.80 req/sec
[2005-2014] Total so far: 8800, Requests made: 385, avg 0.80 req/sec
[1975-1984] Total so far: 11400, Requests made: 387, avg 0.80 req/sec
[1965-1974] Total so far: 12400, Requests made: 387, avg 0.80 req/sec
[1985-1994] Total so far: 10200, Requests made: 387, avg 0.80 req/sec
[1995-2004] Total so far: 11000, Requests made: 387, avg 0.80 req/sec
[1965-1974] Total so far: 12600, Requests made: 389, avg 0.80 req/sec
